session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Employment Status,First Language,Country of Birth,Student Status,Sex,Current Country of Residence,Nationality
5dd4d94c523df04a5dbcbca8,5d21a5e877af8600010583c9,AWAITING REVIEW,2019-11-20 06:12:32.379000,2019-11-20 06:14:38.551000,126.172,38,44,5,85,,4D8547F3,Conservative,,English,United States,No,Male,United States,United States
5dd4d98ca4aa264af6e70d90,5cdb3e9caa4e2a00019a16bc,AWAITING REVIEW,2019-11-20 06:13:46.878000,2019-11-20 06:16:23.565000,156.687,47,200,0,100,,4D8547F3,Conservative,Other,English,United States,No,Male,United States,United States
5dd4d990194e48497c10d191,5bcd9a528391630001494521,AWAITING REVIEW,2019-11-20 06:13:36.282000,2019-11-20 06:16:21.950000,165.668,38,372,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,Japan,United States
5dd4d9b6367c6d4a3f3f9d7e,5d094021c79e5a001a796b43,AWAITING REVIEW,2019-11-20 06:14:14.702000,2019-11-20 06:19:26.810000,312.108,34,241,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4d9c18a3c5e4a9f18f9c3,5d89b537f7d109001a8f9c68,AWAITING REVIEW,2019-11-20 06:14:28.113000,2019-11-20 06:24:24.890000,596.777,46,66,0,100,,4D8547F3,Conservative,Part-Time,English,United Kingdom,No,Female,United Kingdom,United Kingdom
5dd4d9c811b0bd4ab99e9f62,55b9a9b0fdf99b6906d2aba4,AWAITING REVIEW,2019-11-20 06:14:35.250000,2019-11-20 06:22:23.980000,468.73,64,1600,1,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Male,United States,United States
5dd4d9ebe0b21b4ae9468a0b,56ce6383465e58000d84710d,AWAITING REVIEW,2019-11-20 06:15:07.277000,2019-11-20 06:18:36.672000,209.395,29,109,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4d9ed523df04a5dbcbca9,5c5f95cf4fff5700017ecc6b,AWAITING REVIEW,2019-11-20 06:15:37.365000,2019-11-20 06:19:20.892000,223.527,23,92,0,100,,4D8547F3,Conservative,Unemployed (and job seeking),English,United States,No,Female,United States,United States
5dd4da00a9ead04a85afcd0d,5c5ac2869d974300015d81fc,AWAITING REVIEW,2019-11-20 06:15:28.023000,2019-11-20 06:24:17.707000,529.684,33,409,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5dd4da1fca74664af2518383,5d4d038ec270cd001931da3e,AWAITING REVIEW,2019-11-20 06:16:02.932000,2019-11-20 06:18:18.733000,135.801,29,148,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
