session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Employment Status,First Language,Country of Birth,Sex,Political Spectrum (US),Current Country of Residence,Student Status
5dd4dc78710dfc4b01569a0a,5c6a3c721519ac0001668582,AWAITING REVIEW,2019-11-20 06:26:03.673000,2019-11-20 06:29:04.931000,181.258,19,211,0,100,,4D8547F3,United States,Other,English,Philippines,Male,Conservative,United States,Yes
5dd4dc88848b0f4a78986429,5c894440879a350014dedb02,AWAITING REVIEW,2019-11-20 06:26:16.361000,2019-11-20 06:28:30.415000,134.054,23,67,1,99,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,Yes
5dd4dd11535a714b022e7a58,56a744ee5ad8d9000c970b07,AWAITING REVIEW,2019-11-20 06:28:36.785000,2019-11-20 06:32:52.191000,255.406,54,151,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4dd9c961cb34aee450719,5afdde7e59ae1e00017e6737,AWAITING REVIEW,2019-11-20 06:30:52.801000,2019-11-20 06:34:05.412000,192.611,26,415,4,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,Yes
5dd4ddd8568ca549f19ebc81,58e9538908dc910001901f6b,AWAITING REVIEW,2019-11-20 06:32:19.795000,2019-11-20 06:44:10.986000,711.191,56,616,4,100,,4D8547F3,United States,Other,English,United States,Female,Conservative,United States,No
5dd4ddec19eecb4abefff82b,5d546b473bbbbe001b43719c,AWAITING REVIEW,2019-11-20 06:32:28.843000,2019-11-20 06:33:52.155000,83.312,29,164,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4de27848b0f4a214cfc8f,5c7e843f9c3fc00016f4e5a1,AWAITING REVIEW,2019-11-20 06:33:15.381000,2019-11-20 06:35:32.802000,137.421,33,95,2,97,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4de687f1bbf4b03ab4503,5cc53bef8d2a1e000185c3a4,AWAITING REVIEW,2019-11-20 06:34:19.880000,2019-11-20 06:37:42.308000,202.428,33,107,1,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4deebdcec874b29c5bea2,5dcbb28b22dac4850e348b1e,AWAITING REVIEW,2019-11-20 06:36:35.759000,2019-11-20 06:38:38.878000,123.119,43,21,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4df03e9a0ba4a22c0a167,5d497f8d3c428d0017121681,AWAITING REVIEW,2019-11-20 06:36:54.936000,2019-11-20 06:43:23.667000,388.731,33,147,1,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
5dd4df41e0b21b4ae9468a12,5db3997a7b63f7000b63204d,AWAITING REVIEW,2019-11-20 06:37:58.740000,2019-11-20 06:40:30.867000,152.127,20,19,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,Yes
5dd4df61393bd34a2322d066,5dcf01214b0e0c0492f9c2ce,AWAITING REVIEW,2019-11-20 06:38:28.532000,2019-11-20 06:50:51.366000,742.834,25,9,1,96,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4e0579ca8a34b04439f42,5cde1df1ed552600159dbf3f,AWAITING REVIEW,2019-11-20 06:42:33.318000,2019-11-20 06:47:03.470000,270.152,23,192,1,100,,4D8547F3,United States,Unemployed (and job seeking),Vietnamese,United States,Male,Conservative,United States,Yes
5dd4e07551db1c4b5f154bc0,5d4a862437e6030001f9f635,AWAITING REVIEW,2019-11-20 06:43:05.952000,2019-11-20 06:53:46.224000,640.272,32,17,1,97,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e08a40460e4a2314f91b,5d4b85df735654001787afc1,AWAITING REVIEW,2019-11-20 06:43:27.985000,2019-11-20 06:56:14.180000,766.195,32,35,1,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e093670d1a4a9deb3d52,58642f4de16d530001b34622,AWAITING REVIEW,2019-11-20 06:46:19.603000,2019-11-20 07:01:51.640000,932.037,59,644,3,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e0b892371d4b364550e6,5d4be6ccb79a4b001730b049,AWAITING REVIEW,2019-11-20 06:44:13.198000,2019-11-20 06:57:48.805000,815.607,34,59,1,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e0c2bca2e44af217c936,5d35ae1a44112200192b956c,AWAITING REVIEW,2019-11-20 06:44:22.476000,2019-11-20 06:51:45.388000,442.912,34,78,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4e0d07160cb4aada99922,5c3c7908e0ea82000145e64f,AWAITING REVIEW,2019-11-20 06:44:38.172000,2019-11-20 06:56:15.874000,697.702,33,258,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,Yes
5dd4e0d89d9e304a39bee1e3,5d5cdee0121fc80015960d87,AWAITING REVIEW,2019-11-20 06:44:53.256000,2019-11-20 06:47:10.516000,137.26,20,138,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Male,Conservative,United States,No
5dd4e0ef8ed6bf4a1f5a21c6,5d35eb0a29cd130001c67ba3,AWAITING REVIEW,2019-11-20 06:45:06.173000,2019-11-20 06:46:38.346000,92.173,25,70,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4e21e96afdf4a5cb93324,5dc32687547c1f24648b7c23,AWAITING REVIEW,2019-11-20 06:50:10.866000,2019-11-20 06:53:12.081000,181.215,30,11,0,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,No
5dd4e24783e3094a1144d80f,59d72a915cddae0001ff04c3,AWAITING REVIEW,2019-11-20 06:50:54.474000,2019-11-20 06:53:49.575000,175.101,42,404,0,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United Kingdom,No
