session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Current Country of Residence,First Language,Country of Birth,Nationality,Student Status,Employment Status,Sex
5dde0f29326992d6ab7c6ea5,5d9f8122428ba50017ca3fc8,APPROVED,2019-11-27 05:52:43.796000,2019-11-27 05:54:55.158000,131.362,18,57,0,100,2019-11-27 06:54:42.275000,4D8547F3,Liberal,United States,Spanish,United States,United States,Yes,Part-Time,Male
5dde0f293c870ad6ce83d87e,5d8e79ccd0e8b9001846e8a8,APPROVED,2019-11-27 05:52:41.773000,2019-11-27 06:01:38.309000,536.536,34,135,0,100,2019-11-27 06:54:42.973000,4D8547F3,Liberal,United States,English,United States,United States,No,Part-Time,Female
5dde0f2d7d4595d73a923ef6,5d8076e9fdae37001cc20d6e,APPROVED,2019-11-27 05:52:45.356000,2019-11-27 05:53:55.589000,70.233,22,126,0,100,2019-11-27 06:54:43.068000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0f348f45b9d760a4bc75,5d474d1fab2d280015bb0110,APPROVED,2019-11-27 05:52:52.436000,2019-11-27 05:56:36.738000,224.302,31,195,0,100,2019-11-27 06:54:43.170000,4D8547F3,Liberal,United States,Chinese,Vietnam,United States,No,Full-Time,Male
5dde0f36c5fa30d8004cb91e,5d37d2861566530016a061de,APPROVED,2019-11-27 05:52:56.700000,2019-11-27 05:58:34.226000,337.526,42,120,1,100,2019-11-27 06:54:43.906000,4D8547F3,Liberal,United States,Spanish,United States,United States,No,Full-Time,Male
5dde0f3fecd14cd7a09b4a74,5dc3552003f8562725a1b956,APPROVED,2019-11-27 05:53:03.607000,2019-11-27 05:56:14.943000,191.336,31,27,1,99,2019-11-27 06:54:44.066000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Part-Time,Male
5dde0f4d0f8d51d88feae760,5c3f73e9d831ed0001f794ec,APPROVED,2019-11-27 05:53:17.659000,2019-11-27 05:54:14.515000,56.856,25,317,1,100,2019-11-27 06:54:44.119000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Female
5dde0f5b1e70dad7c08d2369,5c2d74a8eb9094000161b635,APPROVED,2019-11-27 05:53:33.347000,2019-11-27 05:56:13.417000,160.07,25,286,0,100,2019-11-27 06:54:44.786000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0f5feb3973d7094170e7,5d87e122e951a10001c3811a,APPROVED,2019-11-27 05:53:40.077000,2019-11-27 05:57:00.637000,200.56,62,90,0,100,2019-11-27 06:54:44.968000,4D8547F3,Liberal,United States,English,United States,United States,No,Part-Time,Female
5dde0f687af661d7f4f8f9cd,5db103ed236ef00013611a6f,APPROVED,2019-11-27 05:53:46.613000,2019-11-27 05:54:44.367000,57.754,36,67,1,100,2019-11-27 06:54:45.025000,4D8547F3,Liberal,United States,English,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Female
5dde0f6a326992d7b9deb63c,5d4602322f66d0001a1208c7,APPROVED,2019-11-27 05:53:46.647000,2019-11-27 06:09:14.717000,928.07,32,193,0,100,2019-11-27 06:54:45.715000,4D8547F3,Liberal,Germany,English,United States,United States,No,Full-Time,Male
5dde0f6b270f44d792b9d6d6,5dae46a3a075d100131fc4e3,APPROVED,2019-11-27 05:53:50.518000,2019-11-27 05:54:35.417000,44.899,20,58,0,100,2019-11-27 06:54:45.925000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Other,Female
5dde0f6de454cdd7c79c2483,5cb60f1eefd4130001bbfdb7,APPROVED,2019-11-27 05:53:51.905000,2019-11-27 05:56:23.967000,152.062,27,262,1,100,2019-11-27 06:54:45.944000,4D8547F3,Liberal,United States,Spanish,United States,United States,No,Full-Time,Male
5dde0f748f45b9d760a4bc76,5d6285707d06c30019d19765,APPROVED,2019-11-27 05:54:00.226000,2019-11-27 05:56:32.546000,152.32,28,43,0,100,2019-11-27 06:54:46.581000,4D8547F3,Liberal,,English,United States,United States,No,Part-Time,Female
